software,institutions,category,tool_type
Google Workspace Education,"NIT Delhi, NIT Durgapur, NIT Pondicherry",Productivity & Collaboration,Administrative Tool
Zoom Workspace Pro,"NIT Delhi, NIT Pondicherry",Productivity & Collaboration,Administrative Tool
Office Suit Microsoft Office 365,"NIT Delhi, Nit Agartala, NIT Durgapur, NIT Pondicherry, NIT Rourkela, NIT Raipur",Productivity & Collaboration,Administrative Tool
Web Ex (CISCO A-FLEX-3_ProPack),"NIT Delhi, NIT Pondicherry",Productivity & Collaboration,Administrative Tool
Seqrite Antivirus Premium ,NIT Delhi,Cybersecurity,Administrative Tool
Matlab,"NIT Delhi, NIT Durgapur, NIT Goa, NIT Pondicherry, NIT Meghalaya, NIT Srinagar, NIT Trichy, NIT Rourkela",Scientific & Engineering Software,Academic Tool
Turnitin,"NIT Delhi, NIT Pondicherry, Nit Agartala, NIT Meghalaya, NIT Srinagar, NIT Rourkela",Academic Integrity & Writing,Academic Tool
Fortinet Firewall 601F,NIT Delhi,Cybersecurity,Administrative Tool
Firewall Authenticator,NIT Delhi,Cybersecurity,Administrative Tool
MS Teams,NIT Delhi,Productivity & Collaboration,Administrative Tool
ION,NIT Delhi,ERP & Administration,Administrative Tool
Wordsworth Lab ,NIT Delhi,Academic Integrity & Writing,Academic Tool
Microsoft Windows Server ,"NIT Delhi, NIT Durgapur",IT Infrastructure & OS,Administrative Tool
eOffice,NIT Delhi,ERP & Administration,Administrative Tool
Samarth ,NIT Delhi,ERP & Administration,Administrative Tool
ERP ,"NIT Delhi, NIT Meghalaya",ERP & Administration,Administrative Tool
Soild Works Educational Edition Software,"Nit Agartala, NIT Trichy",CAD / CAM / Design,Academic Tool
BK Connect FFT Software ,Nit Agartala,Scientific & Engineering Software,Academic Tool
Time Data Recorder Software,Nit Agartala,Scientific & Engineering Software,Academic Tool
IBM SPSS Statistics BASE Version 29.0,Nit Agartala,Data Analysis & Statistics,Academic Tool
ANSYS Mechanical bundle ,"Nit Agartala, NIT Srinagar, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS CFD bundle ,"Nit Agartala, NIT Srinagar, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS HFSS ,"Nit Agartala, NIT Srinagar, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS Maxwell ,"Nit Agartala, NIT Goa, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS Lumerical ,Nit Agartala,Simulation & Modelling,Academic Tool
ANSYS Zemax,Nit Agartala,Simulation & Modelling,Academic Tool
ANSYS,"Nit Agartala, NIT Durgapur, NIT Goa, NIT Pondicherry, NIT Meghalaya, NIT Trichy",Simulation & Modelling,Academic Tool
CHEMCAD Software,Nit Agartala,Scientific & Engineering Software,Academic Tool
ABAQUS Academic Research,Nit Agartala,Simulation & Modelling,Academic Tool
Hyper LINGO 20 ,Nit Agartala,Data Analysis & Statistics,Academic Tool
COMSOL,"NIT Durgapur, NIT Trichy",Simulation & Modelling,Academic Tool
SPSS,"NIT Durgapur, NIT Trichy",Data Analysis & Statistics,Academic Tool
SSL,NIT Durgapur,Cybersecurity,Administrative Tool
LUSAS,NIT Durgapur,Simulation & Modelling,Academic Tool
Cadence EDA tool,NIT Goa,Electronic Design Automation (EDA),Academic Tool
Synopsys Sentaurus TCAD,NIT Goa,Electronic Design Automation (EDA),Academic Tool
Visual TCAD,NIT Goa,Electronic Design Automation (EDA),Academic Tool
AMD Vidado Design Suite Software,NIT Goa,Electronic Design Automation (EDA),Academic Tool
ANSYS,"NIT Goa, NIT Trichy, NIT Rourkela",Simulation & Modelling,Academic Tool
CST studio suite,NIT Goa,Simulation & Modelling,Academic Tool
RT-Lab software ,NIT Goa,Simulation & Modelling,Academic Tool
PSIM,NIT Goa,Scientific & Engineering Software,Academic Tool
MI Power,NIT Goa,Academic Integrity & Writing,Academic Tool
Quill Bot,NIT Goa,Simulation & Modelling,Academic Tool
Midas Gen ,NIT Goa,Simulation & Modelling,Academic Tool
Midas GTS Nx,NIT Goa,Simulation & Modelling,Academic Tool
Plaxis 2D,NIT Goa,GIS & Remote Sensing,Academic Tool
Arc GIS,NIT Goa,CAD / CAM / Design,Academic Tool
AutoCAD,"NIT Goa, NIT Trichy",CAD / CAM / Design,Academic Tool
MasterCAM,NIT Goa,ERP & Administration,Administrative Tool
Superset - Tnpsuite,NIT Kurukshetra,Simulation & Modelling,Academic Tool
Ventclim Fluidyn Software,NIT Kurukshetra,Cybersecurity,Administrative Tool
K7 Security Enterprises ,NIT Kurukshetra,Simulation & Modelling,Academic Tool
Structural Worsute Software,NIT Kurukshetra,Scientific & Engineering Software,Academic Tool
UV Visible Spectrophotomer Software,NIT Kurukshetra,Cybersecurity,Administrative Tool
Fortigate 2000 E,NIT Kurukshetra,Library & Research Management,Administrative Tool
Knimbus Library Management Software Cloud Development ,"NIT Kurukshetra, NIT Pondicherry",ERP & Administration,Administrative Tool
Self Verfiable Credentials ,NIT Kurukshetra,Scientific & Engineering Software,Academic Tool
Quantum ATK with NEGF,NIT Kurukshetra,Library & Research Management,Administrative Tool
Openlex Library Management Software,NIT Kurukshetra,Scientific & Engineering Software,Academic Tool
PESS Software,NIT Kurukshetra,CAD / CAM / Design,Academic Tool
CAD/CAM,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
Wolfram Mathematica Network software,NIT Pondicherry,Simulation & Modelling,Academic Tool
Netsim Software academic version,"NIT Pondicherry, NIT Srinagar",IT Infrastructure & OS,Administrative Tool
Microsoft Windows 10 pro OEM pack,NIT Pondicherry,IT Infrastructure & OS,Administrative Tool
Microsoft windows 10 professional OS ,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
NI Lab View software,NIT Pondicherry,Simulation & Modelling,Academic Tool
"Optical communication systems Simulator (Optsim),",NIT Pondicherry,Simulation & Modelling,Academic Tool
PLAXIS software,NIT Pondicherry,Library & Research Management,Administrative Tool
IEEE IEL Online Tier 2,NIT Pondicherry,Electronic Design Automation (EDA),Academic Tool
proteus VSM for MSP430,NIT Pondicherry,Simulation & Modelling,Academic Tool
Comsol Multiphysics software package,"NIT Pondicherry, NIT Trichy",Simulation & Modelling,Academic Tool
FLOW 3D Hydro software,NIT Pondicherry,Simulation & Modelling,Academic Tool
Midas Software,"NIT Pondicherry, NIT Meghalaya, NIT Kurukshetra, NIT Sikkim",Simulation & Modelling,Academic Tool
"Geostudio software,",NIT Pondicherry,Simulation & Modelling,Academic Tool
PSIM2021a-Education -professional-network,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
Mi power software package,NIT Pondicherry,Academic Integrity & Writing,Academic Tool
English laboratory software sanako study,NIT Pondicherry,Cybersecurity,Administrative Tool
email security appliance and its accessories ,NIT Pondicherry,GIS & Remote Sensing,Academic Tool
ArcGIS Software,NIT Pondicherry,Simulation & Modelling,Academic Tool
LS-RAPID software,NIT Pondicherry,Academic Integrity & Writing,Academic Tool
Grammarly,"NIT Pondicherry, NIT Meghalaya, NIT Srinagar, NIT Rourkela",Scientific & Engineering Software,Academic Tool
Ergo Master,NIT Pondicherry,IT Infrastructure & OS,Administrative Tool
AI server,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
"Anthropometer and Ergo Fello software,",NIT Pondicherry,Simulation & Modelling,Academic Tool
"ANSYS Software academic Multiphysics campus
license perpetual","NIT Pondicherry, NIT Srinagar, NIT Trichy",Electronic Design Automation (EDA),Academic Tool
"Proteus VSM simulation software (50 Users) cloud License IoT builder for Arduino
AVR for IoT and Robotics simulation with 12 months upgrades and perpetual license,",NIT Pondicherry,IT Infrastructure & OS,Administrative Tool
"Academic Teaching Network License for windows 10/Linux,",NIT Pondicherry,Data Analysis & Statistics,Academic Tool
NVivo quantitative data analysis software,NIT Pondicherry,Academic Integrity & Writing,Academic Tool
"Trados studio translation software (Perpetual License),",NIT Pondicherry,AI & Machine Learning,Academic Tool
All Acess AI Tools,NIT Pondicherry,ERP & Administration,Administrative Tool
Tally Prime,"NIT Pondicherry, NIT Trichy",Library & Research Management,Administrative Tool
Web of Science,"NIT Pondicherry, NIT Sikkim",Library & Research Management,Administrative Tool
KOHA(ILMS),NIT Pondicherry,Library & Research Management,Administrative Tool
IRNS NITPY,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
LabVIEW,"NIT Pondicherry, NIT Rourkela",Simulation & Modelling,Academic Tool
ETAP(Electrical Transient Analyzer Program),NIT Pondicherry,CAD / CAM / Design,Academic Tool
 NX CORE + CAD,NIT Pondicherry,CAD / CAM / Design,Academic Tool
NX CAE + CAD,NIT Pondicherry,ERP & Administration,Administrative Tool
Teamcenter,NIT Pondicherry,Simulation & Modelling,Academic Tool
Simcenter Amesim Academic Bundle,NIT Pondicherry,IT Infrastructure & OS,Administrative Tool
Ubuntu OS,NIT Pondicherry,ERP & Administration,Administrative Tool
ESSL Biomentric Software,NIT Pondicherry,AI & Machine Learning,Academic Tool
Researcher AI,NIT Pondicherry,Simulation & Modelling,Academic Tool
Rsoft OptSIM,NIT Pondicherry,CAD / CAM / Design,Academic Tool
Rsoft CAD GUI,NIT Pondicherry,Simulation & Modelling,Academic Tool
BeamPROP BPM add-on,NIT Pondicherry,IT Infrastructure & OS,Administrative Tool
Academic Teaching Network License OptSIM,NIT Pondicherry,Electronic Design Automation (EDA),Academic Tool
Proteus VSM Embedded Design & Simulation software,NIT Pondicherry,Electronic Design Automation (EDA),Academic Tool
Proteus VSM for MSP430,NIT Pondicherry,Cybersecurity,Administrative Tool
Kaspersky Anti-Virus,NIT Meghalaya,Library & Research Management,Administrative Tool
LSAcademia,NIT Meghalaya,Electronic Design Automation (EDA),Academic Tool
MEMS Design,NIT Meghalaya,Electronic Design Automation (EDA),Academic Tool
MEMS Design and ANALYSIS Software,NIT Meghalaya,Simulation & Modelling,Academic Tool
MIKE21C,NIT Meghalaya,Scientific & Engineering Software,Academic Tool
Gaussian 09 and Gauss View 5,NIT Meghalaya,CAD / CAM / Design,Academic Tool
MasterCam X9 Edu,NIT Meghalaya,Data Analysis & Statistics,Academic Tool
Teeplot Academic Suite ,NIT Meghalaya,Simulation & Modelling,Academic Tool
PSS@SINCAL ,NIT Meghalaya,ERP & Administration,Administrative Tool
Tally Net Gold,NIT Meghalaya,Cybersecurity,Administrative Tool
Cyberoam,NIT Meghalaya,IT Infrastructure & OS,Administrative Tool
Microsoft Cloud,NIT Meghalaya,Scientific & Engineering Software,Academic Tool
Materialise Magics Additive Manufacturing Education Program,NIT Meghalaya,Scientific & Engineering Software,Academic Tool
Materialise Mimics Medical Image Processing Software,NIT Meghalaya,Scientific & Engineering Software,Academic Tool
Materialise 3-matic,NIT Meghalaya,Simulation & Modelling,Academic Tool
ANSYS Granta edu PAck ,"NIT Meghalaya, NIT Srinagar",Simulation & Modelling,Academic Tool
ANSYS Learning Hub ,"NIT Meghalaya, NIT Srinagar",IT Infrastructure & OS,Administrative Tool
"Windows Server 2022 Standard-i6 core license pack-Educational Software
","NIT Durgapur, NIT Srinagar",Data Analysis & Statistics,Academic Tool
Smart PLS Software,NIT Srinagar,Scientific & Engineering Software,Academic Tool
Lancyville Software,NIT Srinagar,IT Infrastructure & OS,Administrative Tool
Cisco Business,NIT Srinagar,Data Analysis & Statistics,Academic Tool
OriginLab PRO V2023,NIT Srinagar,Simulation & Modelling,Academic Tool
Setfos,NIT Srinagar,Electronic Design Automation (EDA),Academic Tool
Synopsys EDA Tools,NIT Srinagar,Simulation & Modelling,Academic Tool
Standard License PFC Suite,NIT Srinagar,Simulation & Modelling,Academic Tool
netsim standard version,NIT Srinagar,Scientific & Engineering Software,Academic Tool
TOBII,NIT Durgapur,Simulation & Modelling,Academic Tool
Altair academic bundle,NIT Srinagar,Simulation & Modelling,Academic Tool
Altair standard bundle,NIT Srinagar,Simulation & Modelling,Academic Tool
comsol battery design module,NIT Srinagar,Simulation & Modelling,Academic Tool
ANSYS EM,"NIT Srinagar, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS Training,NIT Srinagar,Simulation & Modelling,Academic Tool
Converge CFD Software,NIT Meghalaya,Scientific & Engineering Software,Academic Tool
AMS Suite Software,NIT Kurukshetra,Simulation & Modelling,Academic Tool
DigSilent power factory Software,NIT Kurukshetra,Scientific & Engineering Software,Academic Tool
sound plan noise professional package software,NIT Srinagar,Simulation & Modelling,Academic Tool
FLAC 3D ,NIT Srinagar,IT Infrastructure & OS,Administrative Tool
AWS,NIT Sikkim,IT Infrastructure & OS,Administrative Tool
Microsoft Open Value Subscription Education Solutions,NIT Trichy,IT Infrastructure & OS,Academic Tool
Microsoft Azure Dev Tools for Teaching,NIT Trichy,IT Infrastructure & OS,Administrative Tool
3D Experience R2021x,NIT Trichy,CAD / CAM / Design,Academic Tool
 Catia V5 6R2020 ,NIT Trichy,CAD / CAM / Design,Academic Tool
Catia 3D Experience V6 R2020x,NIT Trichy,CAD / CAM / Design,Academic Tool
Cisco Webex,NIT Trichy,IT Infrastructure & OS,Administrative Tool
 Delmia V5 6R2020 ,NIT Trichy,CAD / CAM / Design,Academic Tool
Delmia 3D Experience V6 R2020x,NIT Trichy,CAD / CAM / Design,Academic Tool
Mathematica 14.0,NIT Trichy,Scientific & Engineering Software,Academic Tool
MSC University MD FEA + Motion Bundle,NIT Trichy,Simulation & Modelling,Academic Tool
Oracle Academy Bundle,NIT Trichy,IT Infrastructure & OS,Academic Tool
PTC Creo 12,NIT Trichy,CAD / CAM / Design,Academic Tool
Simulia R2023x,NIT Trichy,Simulation & Modelling,Academic Tool
SolidWorks Campus EDU 2026,"NIT Trichy, NIT Rourkela",CAD / CAM / Design,Academic Tool
Symantec Endpoint Protection 14.4.0,NIT Trichy,Cybersecurity,Administrative Tool
Visual Studio Professional 2022,NIT Rourkela,IT Infrastructure & OS,Academic Tool
